"Name","R@1",Facet
"DINO_V2_VLAD/l31_value_c32/baidu_datasets/dinov2_vitg14","0.7150959860383944",Value
"DINO_V2_VLAD/l31_token_c32/baidu_datasets/dinov2_vitg14","0.7076788830715532",Token
"DINO_V2_VLAD/l31_query_c32/baidu_datasets/dinov2_vitg14","0.44589877835951136",Query
"DINO_V2_VLAD/l31_key_c32/baidu_datasets/dinov2_vitg14","0.42844677137870857",Key
